,date,month,day,hour,min,disk,cpu_1,cpu_2,cpu_3,cpu_4,year,timestamp,time_diff,average
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 09:24:00,0 days 00:30:00,10.275
41,7,8,Wed,19,6,67.2,20.5,7.2,16.7,5.6,2019,2019-07-08 19:06:00,0 days 00:30:00,12.5
42,7,8,Wed,19,36,67.3,26.4,10.1,22.5,8.8,2019,2019-07-08 19:36:00,0 days 00:30:00,16.95
43,7,8,Wed,20,6,67.9,37.5,15.5,31.9,14.0,2019,2019-07-08 20:06:00,0 days 00:30:00,24.725
44,7,8,Wed,21,31,68.0,25.8,8.8,21.1,7.6,2019,2019-07-08 21:31:00,0 days 01:25:00,15.825000000000001
45,7,8,Wed,22,1,68.0,25.8,8.8,18.1,6.3,2019,2019-07-08 22:01:00,0 days 00:30:00,14.75
46,7,8,Wed,22,31,68.0,22.4,6.9,15.7,4.8,2019,2019-07-08 22:31:00,0 days 00:30:00,12.45
47,7,8,Wed,23,1,68.0,32.4,12.4,23.3,9.0,2019,2019-07-08 23:01:00,0 days 00:30:00,19.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 07:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 08:54:00,0 days 00:30:00,10.275
36,7,8,Wed,0,24,67.2,18.5,4.8,14.2,3.6,2019,2019-07-08 07:24:00,0 days 00:30:00,10.275
